municipio,homicidio,furtos_veiculo,furtos,roubos,latrocionio,roubo_veiculo,extorsao,extorsao_sequesto,estelionato,delitos_corrupcao,posse_entorpecente,delitos_municoes,trafico_entorpecente,ano
"BARRA FUNDA",0,1,16,0,0,0,0,0,0,0,0,3,1,2008
BARRACAO,0,0,61,1,0,0,0,0,4,0,1,8,1,2008
"BARROS CASSAL",3,1,81,12,0,0,0,0,7,0,1,6,1,2008
"BENJAMIN CONSTANT DO SUL",0,0,9,0,0,0,0,0,0,0,0,0,0,2008
"BENTO GONCALVES",10,112,1850,363,0,92,6,0,142,3,61,52,22,2008
"BOA VISTA DAS MISSOES",0,1,6,1,1,0,0,0,0,0,0,0,0,2008
"BOA VISTA DO BURICA",0,1,44,3,0,0,0,0,3,0,1,3,0,2008
"BOA VISTA DO CADEADO",0,0,27,0,0,0,0,0,2,0,0,0,0,2008
"BOA VISTA DO INCRA",0,1,43,0,0,0,0,0,5,0,0,1,0,2008
"BOA VISTA DO SUL",0,0,30,1,0,0,0,0,0,0,0,1,0,2008
"BOM JESUS",5,3,202,19,0,0,0,0,4,0,9,9,3,2008
